Class,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,ZCR_mean,ZCR_std,SC_mean,SC_std
1,-581.3794404182,82.3624757519,-27.2862095398,10.9953771543,-2.4313168859,10.7386406793,-5.9108693977,-4.900534532,-6.9893469707,-3.1886614423,1.5897803975,-3.2700523959,4.2516255634,-5.8827544066,-4.0482260973,-5.6495359246,-1.2658449623,4.2125148702,-0.5177197586,-3.4890217379,0.0229123209,0.0108537201,1400.8162246276,806.7619121014
1,-366.0445159137,40.4289751621,-55.8983520642,-17.0034422124,-8.031589889,5.4934406389,11.5587414366,23.4717332543,4.4088351092,-12.2389883943,-14.8864909554,-6.349300377,17.5918827977,13.2867440567,3.7036290247,-15.8270051221,-5.9866681235,22.2708574903,23.1502832309,26.1894705686,0.0618065903,0.0269804575,1098.0356795383,485.4013729738
1,-417.1919399044,93.0505814913,-43.6787868086,-1.7828308988,-5.2800376968,8.966889996,-8.4023334751,-4.2935985252,-10.5128912268,-15.4033891732,-8.2516139985,-10.034622609,-3.9065500801,-14.8936665709,-8.0510325076,-5.3094593195,-6.2749174711,-3.2547227647,4.3787618593,25.3912306099,0.0286619582,0.0117003706,829.9088188566,292.8432335038
1,-561.3669325145,131.1221609285,-49.1566630948,16.8116308191,-24.189841501,23.4087877039,-21.5848418541,3.1170863203,-19.9978889124,-2.3636004777,7.5522806547,1.095840116,-2.9274066045,-18.0116265277,-5.7165582876,1.4982168297,-4.3537175834,-6.4049527907,-10.0299706129,-4.7792894591,0.0328902017,0.007237148,1061.4038743051,417.9088796908
1,-623.0441147944,132.4710382797,-7.8623163029,6.2899257134,18.9029397238,9.0665896832,11.6197500076,-0.5551122931,-5.3468989688,-3.1382074104,-6.1550760554,-0.250478609,0.663445927,-7.1253642881,-5.2770383299,-2.184505895,-6.5739285673,-9.6199037533,-6.0249129699,0.1940748408,0.0142832388,0.0067741075,622.3421353157,393.0948476938
1,-486.8729312754,26.7774904109,-42.9312017589,-4.8845872666,-19.6172166635,11.0999854631,-0.5770728591,4.9452496943,-8.8130695376,4.7514048759,2.9710682093,6.8737312008,5.4705535195,-7.5032831825,3.1246259477,13.957351912,10.7540518506,2.7400469602,5.042736093,2.3425738796,0.0556566393,0.0335905153,1799.6765737721,485.7480973185
1,-413.3039673559,63.4697584464,-54.4114504378,-15.5858070021,-33.1354936812,-17.0968879542,-29.1804290954,-18.8970559038,-5.5373149691,14.6832072881,30.3331562184,20.9126005965,19.573481125,-7.069106439,-15.1281246414,-23.3053871884,-22.2075374987,-1.2984447359,7.5045771879,15.4739448912,0.0364901778,0.012036332,915.9998714229,443.5592657519
1,-432.6461125142,10.8616863357,-59.3903292228,-11.2370759484,-23.5752504208,9.6023414823,-24.0274117596,5.9963900097,-9.0350874537,18.001391382,-5.7472452526,-13.7627480652,9.2143843034,14.9399755112,0.7569416393,-6.9384310202,2.8802207328,17.1463889628,9.6477233089,1.2764258978,0.1039676533,0.0345510717,2231.7955696739,408.8177226908
1,-609.0490652135,78.8535595856,-35.9703950433,-5.6642702643,-6.3967072409,5.9458685216,-11.2711861573,-9.5795142893,-3.4603517371,2.8744931881,2.6866546054,-9.1789120239,-1.6471385517,-1.591257518,-0.1996838282,-11.5693900214,-12.1445834992,-2.288147636,3.1847918373,18.5646236905,0.0315709997,0.0166940097,1407.1804322743,798.7040729686
1,-528.9822470387,18.5001328784,-49.5298808353,-10.7006969214,-12.5180944688,18.2917469181,-6.9511385037,-1.9111309458,-4.6014945741,14.7316691308,5.7773884114,-15.6191341373,-14.6186867063,3.8371065987,22.6290865057,4.1457921162,3.9772517462,16.9899095195,14.4551708209,6.7899471215,0.0805366848,0.0346526833,1697.0171669476,329.747227244
